accuracy;loss;step
0.0;4.4389495849609375;0
0.14479167759418488;3.115506172180176;50
0.14218750596046448;3.1678953170776367;100
0.16822917759418488;2.940152883529663;150
0.24947917461395264;2.7025303840637207;200
0.2536458373069763;2.6410391330718994;250
0.33281251788139343;2.430809497833252;300
0.3427083492279053;2.2938497066497803;350
0.3463541865348816;2.309563398361206;400
0.35729169845581055;2.2542459964752197;450
0.37187501788139343;2.204413414001465;500
0.4218750298023224;2.041935682296753;550
0.41979169845581055;2.07502818107605;600
0.4270833432674408;2.0694265365600586;650
0.44583335518836975;1.9415946006774902;700
0.48072919249534607;1.8486820459365845;750
0.44843751192092896;1.9415605068206787;800
0.46510419249534607;1.8430670499801636;850
0.468229204416275;1.8186126947402954;900
0.5296875238418579;1.6617141962051392;950
0.4989583492279053;1.6994225978851318;1000
0.5494791865348816;1.5870312452316284;1050
0.5401042103767395;1.625771403312683;1100
0.5145833492279053;1.6710419654846191;1150
0.5192708373069763;1.6145943403244019;1200
0.5619791746139526;1.5275790691375732;1250
0.5552083849906921;1.54474675655365;1300
0.5406250357627869;1.5822316408157349;1350
0.5776041746139526;1.490917682647705;1400
0.5546875;1.5086294412612915;1450
0.5729166865348816;1.4771792888641357;1500
0.5864583849906921;1.4287571907043457;1550
0.5994791984558105;1.342926025390625;1600
0.5942708849906921;1.4170811176300049;1650
0.6026042103767395;1.355983018875122;1700
0.6177083849906921;1.30243718624115;1750
0.6067708730697632;1.3158601522445679;1800
0.6145833730697632;1.320914387702942;1850
0.6135417222976685;1.2786788940429688;1900
0.6286458373069763;1.2913118600845337;1950
0.6067708730697632;1.3578678369522095;2000
0.5984375476837158;1.3486285209655762;2050
0.6182292103767395;1.315584421157837;2100
0.6026042103767395;1.350412368774414;2150
0.6114583611488342;1.2940468788146973;2200
0.6343750357627869;1.2550822496414185;2250
0.6286458373069763;1.2512352466583252;2300
0.6223958730697632;1.2479084730148315;2350
0.6333333849906921;1.2180125713348389;2400
0.6432291865348816;1.2241324186325073;2450
0.6328125596046448;1.2158443927764893;2500
0.6692708730697632;1.1035767793655396;2550
0.6421875357627869;1.2003792524337769;2600
0.6375000476837158;1.1768927574157715;2650
0.6635416746139526;1.19273841381073;2700
0.675000011920929;1.0977684259414673;2750
0.675000011920929;1.0901142358779907;2800
0.6541666984558105;1.1566951274871826;2850
0.6760417222976685;1.0990880727767944;2900
