learning_rate;max_steps;batch_size;dnn_hidden_units;optimizer;step;train_acc;train_loss;test_acc;test_loss
0.0002;3000;400;[400, 400, 400];Adam;2401;0.9474999904632568;0.17694179713726044;0.5105999708175659;2.4641551971435547
0.0002;3000;400;[400, 400, 400];Adam;2501;0.9375;0.20176653563976288;0.5072999596595764;2.4891109466552734
0.0002;3000;400;[400, 400, 400];Adam;2601;0.9325000047683716;0.18345145881175995;0.5072000026702881;2.564114809036255
0.0002;3000;400;[400, 400, 400];Adam;2701;0.9399999976158142;0.2053927481174469;0.5141000151634216;2.6441493034362793
0.0002;3000;400;[400, 400, 400];Adam;2801;0.9449999928474426;0.18402349948883057;0.5191999673843384;2.641918659210205
0.0002;3000;400;[400, 400, 400];Adam;2901;0.9524999856948853;0.1464352011680603;0.5189999938011169;2.7688217163085938
0.0002;3000;400;[400, 400, 400];Adam;3000;0.9325000047683716;0.21904823184013367;0.5187999606132507;2.794243812561035
0.0002;3000;400;[400, 400, 400, 400];Adam;1;0.0949999988079071;2.7471976280212402;0.19550000131130219;2.2700982093811035
0.0002;3000;400;[400, 400, 400, 400];Adam;101;0.41499999165534973;1.6653556823730469;0.4429999887943268;1.5740009546279907
0.0002;3000;400;[400, 400, 400, 400];Adam;201;0.492499977350235;1.493465542793274;0.47439998388290405;1.4957062005996704
0.0002;3000;400;[400, 400, 400, 400];Adam;301;0.5550000071525574;1.285420536994934;0.4943999946117401;1.4338715076446533
0.0002;3000;400;[400, 400, 400, 400];Adam;401;0.6049999594688416;1.1629881858825684;0.5048999786376953;1.4164161682128906
0.0002;3000;400;[400, 400, 400, 400];Adam;501;0.6699999570846558;1.0419678688049316;0.5133999586105347;1.4008629322052002
0.0002;3000;400;[400, 400, 400, 400];Adam;601;0.6200000047683716;1.1319173574447632;0.5146999955177307;1.4207090139389038
0.0002;3000;400;[400, 400, 400, 400];Adam;701;0.6875;0.9494380354881287;0.5192999839782715;1.433103084564209
0.0002;3000;400;[400, 400, 400, 400];Adam;801;0.6399999856948853;1.016554355621338;0.522599995136261;1.4607900381088257
0.0002;3000;400;[400, 400, 400, 400];Adam;901;0.7299999594688416;0.790852427482605;0.524899959564209;1.48671293258667
0.0002;3000;400;[400, 400, 400, 400];Adam;1001;0.8025000095367432;0.6254001259803772;0.5238999724388123;1.5040150880813599
0.0002;3000;400;[400, 400, 400, 400];Adam;1101;0.7549999952316284;0.7042998671531677;0.517799973487854;1.57877779006958
0.0002;3000;400;[400, 400, 400, 400];Adam;1201;0.7599999904632568;0.7214978933334351;0.5223999619483948;1.580109715461731
0.0002;3000;400;[400, 400, 400, 400];Adam;1301;0.7774999737739563;0.6317816972732544;0.5224999785423279;1.6782857179641724
0.0002;3000;400;[400, 400, 400, 400];Adam;1401;0.8499999642372131;0.4431634247303009;0.5310999751091003;1.7058790922164917
0.0002;3000;400;[400, 400, 400, 400];Adam;1501;0.8949999809265137;0.31838852167129517;0.5234000086784363;1.805320143699646
0.0002;3000;400;[400, 400, 400, 400];Adam;1601;0.85999995470047;0.39550715684890747;0.5228999853134155;1.8775759935379028
0.0002;3000;400;[400, 400, 400, 400];Adam;1701;0.8700000047683716;0.34524476528167725;0.5249999761581421;2.026602268218994
0.0002;3000;400;[400, 400, 400, 400];Adam;1801;0.9375;0.23526664078235626;0.5253999829292297;2.0786311626434326
0.0002;3000;400;[400, 400, 400, 400];Adam;1901;0.9274999499320984;0.21597059071063995;0.5200999975204468;2.1823294162750244
0.0002;3000;400;[400, 400, 400, 400];Adam;2001;0.9300000071525574;0.20791760087013245;0.5138999819755554;2.281954526901245
0.0002;3000;400;[400, 400, 400, 400];Adam;2101;0.9325000047683716;0.22489075362682343;0.5223999619483948;2.377946376800537
0.0002;3000;400;[400, 400, 400, 400];Adam;2201;0.9399999976158142;0.15899348258972168;0.5277999639511108;2.4170382022857666
0.0002;3000;400;[400, 400, 400, 400];Adam;2301;0.9624999761581421;0.14009462296962738;0.5187000036239624;2.5327799320220947
0.0002;3000;400;[400, 400, 400, 400];Adam;2401;0.9549999833106995;0.1353217363357544;0.5245999693870544;2.6057510375976562
0.0002;3000;400;[400, 400, 400, 400];Adam;2501;0.9574999809265137;0.14125581085681915;0.5137999653816223;2.7073264122009277
0.0002;3000;400;[400, 400, 400, 400];Adam;2601;0.9399999976158142;0.16912582516670227;0.5227000117301941;2.7340569496154785
0.0002;3000;400;[400, 400, 400, 400];Adam;2701;0.9624999761581421;0.13810907304286957;0.5227999687194824;2.8158230781555176
0.0002;3000;400;[400, 400, 400, 400];Adam;2801;0.9549999833106995;0.13356178998947144;0.5268999934196472;2.8269011974334717
0.0002;3000;400;[400, 400, 400, 400];Adam;2901;0.9674999713897705;0.1016465276479721;0.524899959564209;2.889561653137207
0.0002;3000;400;[400, 400, 400, 400];Adam;3000;0.9749999642372131;0.09948383271694183;0.5227999687194824;2.978501319885254
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1;0.11499999463558197;2.3755648136138916;0.1605999916791916;2.229048013687134
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;101;0.4624999761581421;1.6323738098144531;0.4527999758720398;1.5578380823135376
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;201;0.4675000011920929;1.4953312873840332;0.4870999753475189;1.4660242795944214
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;301;0.5525000095367432;1.3077665567398071;0.4950999915599823;1.4266637563705444
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;401;0.6049999594688416;1.1759377717971802;0.5134999752044678;1.3960230350494385
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;501;0.637499988079071;1.0322620868682861;0.5227000117301941;1.3696491718292236
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;601;0.6349999904632568;1.1327301263809204;0.5091999769210815;1.4107786417007446
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;701;0.6574999690055847;1.0048714876174927;0.5288999676704407;1.4107131958007812
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;801;0.6424999833106995;1.0026415586471558;0.5232999920845032;1.4500797986984253
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;901;0.7274999618530273;0.8479786515235901;0.5245999693870544;1.4993970394134521
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1001;0.7999999523162842;0.6293272376060486;0.5245999693870544;1.4744117259979248
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1101;0.7674999833106995;0.6751836538314819;0.5218999981880188;1.5327227115631104
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1201;0.7699999809265137;0.6642812490463257;0.5199999809265137;1.6225833892822266
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1301;0.7799999713897705;0.567650556564331;0.525600016117096;1.6787033081054688
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1401;0.824999988079071;0.5022939443588257;0.5250999927520752;1.7837495803833008
0.0002;3000;400;[400, 400, 400, 400, 400];Adam;1501;0.85999995470047;0.37153542041778564;0.5254999995231628;1.8436414003372192
