Step;Accuracy;Loss
1;0.1640625;2.302175760269165
11;0.0625;2.3050808906555176
21;0.125;2.3002569675445557
31;0.09375;2.3058621883392334
41;0.0859375;2.307973861694336
51;0.1015625;2.304155111312866
61;0.125;2.3014109134674072
71;0.1484375;2.2980496883392334
81;0.1171875;2.280088186264038
91;0.1875;2.242046356201172
101;0.109375;2.093752861022949
111;0.1328125;1.911080241203308
121;0.1953125;1.7539397478103638
131;0.203125;1.7244099378585815
141;0.2421875;1.6663846969604492
151;0.3125;1.5948950052261353
161;0.2109375;1.7010653018951416
171;0.2578125;1.6020658016204834
181;0.203125;1.87509024143219
191;0.4296875;1.3548327684402466
201;0.2109375;1.6153792142868042
211;0.234375;1.5447161197662354
221;0.3984375;1.2679553031921387
231;0.3515625;1.3605362176895142
241;0.3671875;1.2771005630493164
251;0.359375;1.2782831192016602
261;0.3125;1.3464553356170654
271;0.578125;1.0042855739593506
281;0.5078125;1.1242414712905884
291;0.3828125;1.183772325515747
301;0.40625;1.1960374116897583
311;0.5703125;1.0426712036132812
321;0.640625;0.9422560930252075
331;0.5546875;0.9252250790596008
341;0.4765625;1.03496253490448
351;0.59375;0.9006798267364502
361;0.59375;0.9383345246315002
371;0.578125;0.9095853567123413
381;0.515625;0.8507057428359985
391;0.59375;0.8439115285873413
401;0.5234375;0.8955813646316528
411;0.6328125;0.8321244716644287
421;0.6171875;0.7651253342628479
431;0.671875;0.8138197064399719
441;0.46875;0.9341133832931519
451;0.578125;0.788841187953949
461;0.765625;0.6931272149085999
471;0.4921875;0.906578540802002
481;0.5234375;0.8987510800361633
491;0.5390625;0.7948178052902222
501;0.6015625;0.7409604787826538
511;0.609375;0.7665359377861023
521;0.6953125;0.6843721270561218
531;0.6796875;0.6794003248214722
541;0.671875;0.6948296427726746
551;0.6328125;0.7097737789154053
561;0.671875;0.6802071332931519
571;0.59375;0.822361946105957
581;0.59375;0.786490797996521
591;0.65625;0.652881920337677
601;0.640625;0.66558837890625
611;0.703125;0.6194846034049988
621;0.71875;0.6238721013069153
631;0.6796875;0.6705983877182007
641;0.6953125;0.6214160919189453
651;0.6875;0.6569516658782959
661;0.765625;0.5471511483192444
671;0.6875;0.6123639345169067
681;0.8046875;0.4571976661682129
691;0.796875;0.5233809947967529
701;0.7890625;0.45381882786750793
711;0.765625;0.46659815311431885
721;0.4609375;1.3747129440307617
731;0.9296875;0.3510049879550934
741;0.859375;0.3967548608779907
