Step;Accuracy;Loss
1;0.0859375;2.302738666534424
11;0.0859375;2.2986340522766113
21;0.0703125;2.30397629737854
31;0.1328125;2.3023204803466797
41;0.0859375;2.302363157272339
51;0.109375;2.302109479904175
61;0.109375;2.3000760078430176
71;0.1015625;2.3033359050750732
81;0.125;2.3034958839416504
91;0.140625;2.299391984939575
101;0.1484375;2.2980918884277344
111;0.1484375;2.2985281944274902
121;0.09375;2.301842212677002
131;0.1328125;2.29136061668396
141;0.078125;2.3005666732788086
151;0.09375;2.237342596054077
161;0.1796875;2.171140193939209
171;0.2734375;1.9319700002670288
181;0.1796875;1.8332364559173584
191;0.34375;1.7208601236343384
201;0.375;1.6543290615081787
211;0.265625;1.6903799772262573
221;0.3203125;1.528864860534668
231;0.2421875;1.6499683856964111
241;0.2421875;1.5823155641555786
251;0.25;1.497147798538208
261;0.3046875;1.436626672744751
271;0.28125;1.4532361030578613
281;0.2578125;1.370709776878357
291;0.3125;1.2773139476776123
301;0.328125;1.2843847274780273
311;0.328125;1.2161273956298828
321;0.3359375;1.2218466997146606
331;0.34375;1.218904972076416
341;0.3203125;1.218147873878479
351;0.28125;1.1748340129852295
361;0.390625;1.11090087890625
371;0.3828125;1.0681531429290771
381;0.359375;1.0444121360778809
391;0.4453125;0.9418656826019287
401;0.53125;0.8888091444969177
411;0.7890625;0.8637830018997192
421;0.6484375;0.8321033120155334
431;0.796875;0.7454973459243774
441;0.8515625;0.6823899745941162
451;0.921875;0.6412172913551331
461;0.8671875;0.657497763633728
471;0.8125;0.665467381477356
481;0.921875;0.6300051808357239
491;0.921875;0.5771870017051697
501;0.9296875;0.5607039928436279
511;0.875;0.5487378835678101
521;0.984375;0.47737202048301697
531;0.6796875;0.6903406977653503
541;0.5703125;0.8421370983123779
551;0.578125;0.7754194736480713
561;0.46875;0.7935911417007446
571;0.6328125;0.6643603444099426
581;0.8671875;0.5031390190124512
591;0.7109375;0.626617968082428
601;0.578125;0.6681930422782898
611;0.8515625;0.48760271072387695
621;0.96875;0.42340344190597534
631;0.8125;0.5379349589347839
641;0.5703125;0.5587621331214905
651;0.8671875;0.4423278868198395
661;0.703125;0.5811255574226379
671;0.4921875;0.759773850440979
681;0.5;0.8483949303627014
691;0.609375;0.6393134593963623
701;0.75;0.4241940677165985
711;0.9296875;0.3163644075393677
721;0.6953125;0.5668541789054871
731;0.8203125;0.46744391322135925
741;0.890625;0.29642152786254883
751;0.796875;0.46358808875083923
761;0.765625;0.43860211968421936
771;0.65625;0.5927137732505798
781;0.9609375;0.2548745274543762
791;0.9453125;0.3111565113067627
801;0.921875;0.26039204001426697
811;0.8671875;0.3224656581878662
821;0.6875;0.5242009162902832
831;0.7109375;0.42942914366722107
841;0.8046875;0.40191006660461426
851;0.921875;0.3048199713230133
861;0.609375;0.47141745686531067
871;0.6328125;0.4232352375984192
881;0.828125;0.3751849830150604
891;0.84375;0.3192475140094757
901;0.8125;0.3957728147506714
911;0.7890625;0.35159483551979065
921;0.84375;0.3890834152698517
931;0.9140625;0.34995236992836
941;0.8828125;0.3336195647716522
951;0.921875;0.288102924823761
961;0.9140625;0.30903902649879456
971;0.875;0.2554989457130432
981;1.0;0.2021496742963791
991;0.9140625;0.259383887052536
1001;1.0;0.20098617672920227
1011;0.734375;0.46356096863746643
1021;0.609375;0.5568656325340271
1031;0.765625;0.3501601219177246
1041;0.9453125;0.2967500686645508
1051;1.0;0.17114801704883575
1061;0.984375;0.15548717975616455
1071;0.9375;0.22017517685890198
1081;0.9921875;0.2236323356628418
1091;1.0;0.16315355896949768
1101;1.0;0.15034732222557068
1111;0.765625;0.3645775020122528
1121;0.921875;0.20850872993469238
1131;0.90625;0.18939819931983948
1141;0.6328125;0.4835221767425537
1151;0.84375;0.3029240667819977
1161;0.8984375;0.19091084599494934
1171;1.0;0.13535693287849426
1181;0.984375;0.15734484791755676
1191;0.9921875;0.1312267780303955
1201;0.828125;0.1928475797176361
1211;0.8125;0.25508299469947815
1221;0.7578125;0.29901784658432007
1231;0.7890625;0.31976810097694397
1241;0.875;0.23679473996162415
1251;0.7265625;0.5224469304084778
1261;0.734375;0.5760985612869263
1271;0.9765625;0.11539134383201599
1281;1.0;0.07708148658275604
1291;1.0;0.04437362030148506
1301;1.0;0.031186070293188095
1311;1.0;0.0321071483194828
1321;1.0;0.02254454419016838
1331;1.0;0.024269547313451767
1341;1.0;0.019796304404735565
1351;1.0;0.017099369317293167
1361;1.0;0.014882054179906845
1371;1.0;0.013888522982597351
1381;1.0;0.012448016554117203
1391;1.0;0.011535145342350006
1401;1.0;0.008039411157369614
1411;1.0;0.008798688650131226
1421;1.0;0.007977958768606186
1431;1.0;0.0064109452068805695
1441;1.0;0.006787899881601334
1451;1.0;0.005475878715515137
1461;1.0;0.005570057779550552
1471;1.0;0.004721447825431824
1481;1.0;0.004748884588479996
1491;1.0;0.003889959305524826
1501;1.0;0.003423750400543213
1511;1.0;0.003724716603755951
1521;1.0;0.0033580735325813293
1531;1.0;0.00305350124835968
1541;1.0;0.002656802535057068
1551;1.0;0.0028276853263378143
1561;1.0;0.0027792155742645264
1571;1.0;0.0024025477468967438
1581;1.0;0.0022471584379673004
1591;1.0;0.0019049011170864105
1601;1.0;0.0017215609550476074
1611;1.0;0.001892879605293274
1621;1.0;0.0016544200479984283
1631;1.0;0.0014799758791923523
1641;1.0;0.001410309225320816
1651;1.0;0.001240994781255722
1661;1.0;0.0011760666966438293
1671;1.0;0.0011253245174884796
1681;1.0;0.0011568628251552582
1691;1.0;0.0009977295994758606
1701;1.0;0.0009912699460983276
1711;1.0;0.0008560270071029663
1721;1.0;0.0009460821747779846
1731;1.0;0.0008621588349342346
1741;1.0;0.0008334144949913025
1751;1.0;0.0007379576563835144
1761;1.0;0.0007389038801193237
1771;1.0;0.0006479769945144653
1781;1.0;0.0006527900695800781
1791;1.0;0.000592745840549469
1801;1.0;0.0005825832486152649
1811;1.0;0.0005054324865341187
1821;1.0;0.00045752525329589844
1831;1.0;0.000472046434879303
1841;1.0;0.0004744231700897217
1851;1.0;0.0003968551754951477
1861;1.0;0.00036897510290145874
1871;1.0;0.00039701908826828003
1881;1.0;0.0003456920385360718
1891;1.0;0.0003735199570655823
1901;1.0;0.0003224983811378479
1911;1.0;0.0002599954605102539
1921;1.0;0.0002681314945220947
1931;1.0;0.0002688765525817871
1941;1.0;0.0002540871500968933
1951;1.0;0.00022725015878677368
1961;1.0;0.0002359524369239807
1971;1.0;0.00024024397134780884
1981;1.0;0.00020279735326766968
1991;1.0;0.00019732117652893066
2001;1.0;0.00018058717250823975
2011;1.0;0.00017613917589187622
2021;1.0;0.00016026198863983154
2031;1.0;0.00015775859355926514
2041;1.0;0.00015290826559066772
2051;1.0;0.0001431480050086975
2061;1.0;0.00012417137622833252
2071;1.0;0.00012052804231643677
2081;1.0;0.00012149661779403687
2091;1.0;0.00010519474744796753
2101;1.0;9.239464998245239e-05
2111;1.0;0.00010134279727935791
2121;1.0;8.148699998855591e-05
2131;1.0;9.609013795852661e-05
2141;1.0;8.336454629898071e-05
2151;1.0;7.409602403640747e-05
2161;1.0;8.075684309005737e-05
2171;1.0;7.686018943786621e-05
2181;1.0;6.938725709915161e-05
2191;1.0;6.612390279769897e-05
